iters,fevals,fitness
0,1051214,3395.2089027269694
10,1052249,3442.359767937925
20,1053284,3442.6760774181553
30,1054327,3442.859161478099
40,1055375,3434.6974051565016
50,1056414,3425.6946105042903
60,1057442,3461.3615181299847
70,1058494,3479.413141804871
80,1059535,3459.732916327846
90,1060581,3452.1115214488964
100,1061624,3445.7364754982386
110,1062674,3478.1394958326778
120,1063713,3490.9869067253817
130,1064747,3441.0523269555756
140,1065789,3432.314248398483
150,1066825,3454.0250365332045
160,1067863,3437.338670722414
170,1068910,3453.523566448093
180,1069942,3475.9360778234877
190,1070981,3458.452253998446
200,1072014,3458.91084193962
210,1073058,3442.587329296425
220,1074099,3491.1913103228553
230,1075126,3460.0464661815845
240,1076174,3472.344912144891
250,1077218,3486.2091587214295
260,1078260,3459.5772615977753
270,1079298,3487.5283504410063
280,1080343,3495.0507524830787
290,1081383,3509.1119496354545
300,1082416,3499.9619495611196
310,1083453,3513.2360807034597
320,1084494,3490.1657378657537
330,1085544,3504.531196120229
340,1086582,3499.7637050288054
350,1087623,3497.9404852206844
360,1088665,3510.3463479658544
370,1089708,3499.7704397029215
380,1090743,3523.6435260765024
390,1091784,3517.131463571266
400,1092823,3500.8302179582897
410,1093868,3497.6857952045084
420,1094911,3495.303888585027
430,1095949,3524.6622351344054
440,1096991,3499.936557889494
450,1098025,3516.125813441065
460,1099074,3508.7261156847826
470,1100112,3499.936557889494
480,1101160,3505.716023364705
490,1102205,3505.8363829471773
500,1103239,3505.716023364705
510,1104282,3502.7234658719494
520,1105325,3495.0507524830787
530,1106368,3485.7554500750834
540,1107407,3489.524423109816
550,1108441,3496.043579527507
560,1109479,3506.455714307185
570,1110517,3508.2991535243286
580,1111561,3499.6786397523033
590,1112605,3498.3959777726072
600,1113640,3476.8629869307724
610,1114683,3477.979819302455
620,1115732,3488.632673247078
630,1116780,3465.660016837449
640,1117820,3482.9422149694415
650,1118857,3472.437091392331
660,1119895,3477.686978340928
670,1120936,3490.4901327263974
680,1121977,3482.728512686148
690,1123015,3488.1860478913973
700,1124058,3529.2579635794687
710,1125104,3506.25325462784
720,1126134,3493.2566715450516
730,1127172,3506.455714307185
740,1128216,3493.2566715450516
750,1129259,3493.2566715450516
760,1130290,3516.058920817335
770,1131333,3523.561089425379
780,1132382,3530.2197951977173
790,1133425,3493.2566715450516
800,1134470,3508.181543691983
810,1135502,3506.455714307185
820,1136543,3495.8065852819846
830,1137583,3489.147879509646
840,1138614,3465.623722761731
850,1139656,3478.9774283821257
860,1140699,3496.043579527507
870,1141732,3506.7348804222356
880,1142770,3493.2566715450516
890,1143806,3486.597965772713
900,1144847,3488.3708661386363
910,1145886,3479.939260000375
920,1146918,3483.983605405749
930,1147959,3489.3848737551684
940,1149000,3475.223999374786
950,1150044,3491.921906181961
960,1151078,3484.347587314632
970,1152121,3482.8445367653735
980,1153162,3499.07231463499
990,1154196,3499.07231463499
1000,1155229,3498.59349326444
1010,1156266,3482.8445367653735
1020,1157311,3493.5969210695034
1030,1158354,3507.572639307474
1040,1159392,3514.0211856070205
1050,1160422,3486.940560000483
1060,1161458,3486.938215297165
1070,1162502,3496.098347527713
1080,1163541,3490.707188331898
1090,1164587,3488.4553623407355
1100,1165631,3485.3420795192947
1110,1166663,3516.917927680434
1120,1167707,3516.917927680434
1130,1168742,3523.5766334527725
1140,1169789,3538.7358975380785
1150,1170823,3516.917927680434
1160,1171868,3527.670311984564
1170,1172908,3516.917927680434
1180,1173948,3516.917927680434
1190,1174983,3532.983562897104
1200,1176011,3551.1944687324785
1210,1177060,3516.917927680434
1220,1178097,3551.1944687324785
1230,1179131,3527.670311984564
1240,1180161,3508.210440790055
1250,1181192,3503.718884918301
1260,1182227,3502.062969145335
1270,1183266,3503.718884918301
1280,1184307,3551.1944687324785
1290,1185349,3527.670311984564
1300,1186391,3527.670311984564
1310,1187434,3527.670311984564
1320,1188483,3498.0320875445786
1330,1189525,3517.8727713904923
1340,1190564,3488.537975089474
1350,1191604,3527.670311984564
1360,1192639,3514.370302662367
1370,1193672,3496.1339734596972
1380,1194709,3502.016183966659
1390,1195760,3500.846346400887
1400,1196798,3509.3542375608663
1410,1197837,3494.9100890254895
1420,1198879,3496.1115888815784
1430,1199914,3514.2617529542035
1440,1200946,3478.7147588747794
1450,1201988,3499.789565352923
1460,1203034,3481.394736783126
1470,1204062,3472.8539982009906
1480,1205104,3473.9390898775077
1490,1206150,3503.1910675209847
1500,1207186,3466.750176278798
1510,1208227,3471.5572253922305
1520,1209276,3457.6788471827895
1530,1210321,3472.0776922222267
1540,1211355,3471.687646573847
1550,1212389,3476.461778109551
1560,1213423,3478.04416425373
1570,1214461,3481.722248887709
1580,1215498,3490.3526495696315
1590,1216534,3461.0464687558065
1600,1217570,3463.1377373172772
1610,1218612,3448.132292852233
1620,1219652,3466.0272364144
1630,1220688,3466.0272364144
1640,1221723,3497.812327134232
1650,1222759,3474.5704786541787
1660,1223795,3494.483026058773
1670,1224832,3490.6146314381476
1680,1225871,3461.1482515544226
1690,1226905,3474.793662991801
1700,1227939,3487.769521416312
1710,1228974,3461.0155134791853
1720,1230015,3487.769521416312
1730,1231051,3526.8683102960044
1740,1232096,3504.192219767325
1750,1233138,3482.313771529586
1760,1234184,3520.0591136762255
1770,1235229,3512.6570712166254
1780,1236260,3504.192219767325
1790,1237305,3471.574324910352
1800,1238349,3495.244817635624
1810,1239392,3505.8208215694635
1820,1240425,3500.9350161630477
1830,1241461,3507.0819525049305
1840,1242507,3448.138845114514
1850,1243545,3523.5654313993655
1860,1244581,3482.3138063591487
1870,1245622,3421.9378800477425
1880,1246663,3441.65260554573
1890,1247709,3476.0871416504406
1900,1248743,3451.004644863102
1910,1249783,3429.4566346397132
1920,1250826,3449.244262683209
1930,1251865,3466.2691996469757
1940,1252908,3473.374274094559
1950,1253952,3467.7298932775516
1960,1254990,3453.6847510704483
1970,1256025,3443.1358175361206
1980,1257070,3456.9419546747254
1990,1258120,3483.3400401989925
2000,1259159,3470.364181774481
2010,1260200,3456.161022971492
2020,1261230,3460.078698464669
2030,1262273,3469.8618313218085
2040,1263315,3491.5239946671727
2050,1264361,3470.364181774481
2060,1265403,3488.858234552196
2070,1266446,3483.723315026917
2080,1267496,3480.1997316144416
2090,1268530,3475.7130825357003
2100,1269577,3483.786408874237
2110,1270623,3467.0438843228844
2120,1271661,3455.5205687962507
2130,1272710,3453.5656754457004
2140,1273750,3452.1889257877856
2150,1274791,3466.987902545456
2160,1275831,3487.0895668823246
2170,1276879,3487.0895668823246
2180,1277914,3470.476145329338
2190,1278949,3487.4534090879542
2200,1279988,3474.8830251105137
2210,1281025,3484.829989793711
2220,1282069,3486.464440777245
2230,1283112,3472.104747131477
2240,1284148,3463.56541013441
2250,1285193,3471.6252862033994
2260,1286233,3455.0786585253913
