iters,fevals,fitness
0,33017,3206.0103937941185
10,33018,3206.0103937941185
20,33019,3206.0103937941185
30,33020,3206.0103937941185
40,33021,3206.0103937941185
50,33022,3206.0103937941185
60,33023,3206.0103937941185
70,33024,3206.0103937941185
80,33025,3206.0103937941185
90,33026,3206.0103937941185
100,33027,3206.0103937941185
110,33028,3206.0103937941185
120,33029,3206.0103937941185
130,33030,3206.0103937941185
140,33031,3206.0103937941185
150,33032,3206.0103937941185
160,33033,3206.0103937941185
170,33034,3206.0103937941185
180,33035,3206.0103937941185
190,33036,3206.0103937941185
200,33037,3206.0103937941185
210,33038,3206.0103937941185
220,33039,3206.0103937941185
230,33040,3206.0103937941185
240,33041,3206.0103937941185
250,33042,3206.0103937941185
260,33043,3206.0103937941185
270,33044,3206.0103937941185
280,33045,3206.0103937941185
290,33046,3206.0103937941185
300,33047,3206.0103937941185
310,33048,3206.0103937941185
320,33049,3206.0103937941185
330,33050,3206.0103937941185
340,33051,3206.0103937941185
350,33052,3206.0103937941185
360,33053,3206.0103937941185
370,33054,3206.0103937941185
380,33055,3206.0103937941185
390,33056,3206.0103937941185
400,33057,3206.0103937941185
410,33058,3206.0103937941185
420,33059,3206.0103937941185
430,33060,3206.0103937941185
440,33061,3206.0103937941185
450,33062,3206.0103937941185
460,33063,3206.0103937941185
470,33064,3206.0103937941185
480,33065,3206.0103937941185
490,33066,3206.0103937941185
500,33067,3206.0103937941185
510,33068,3206.0103937941185
520,33069,3206.0103937941185
530,33070,3206.0103937941185
540,33071,3206.0103937941185
550,33072,3206.0103937941185
560,33073,3206.0103937941185
570,33074,3206.0103937941185
580,33075,3206.0103937941185
590,33076,3206.0103937941185
600,33077,3206.0103937941185
610,33078,3206.0103937941185
620,33079,3206.0103937941185
630,33080,3206.0103937941185
640,33081,3206.0103937941185
650,33082,3206.0103937941185
660,33083,3206.0103937941185
670,33084,3206.0103937941185
680,33085,3206.0103937941185
690,33086,3206.0103937941185
700,33087,3206.0103937941185
710,33088,3206.0103937941185
720,33089,3206.0103937941185
730,33090,3206.0103937941185
740,33091,3206.0103937941185
750,33092,3206.0103937941185
760,33093,3206.0103937941185
770,33094,3206.0103937941185
780,33095,3206.0103937941185
790,33096,3206.0103937941185
800,33097,3206.0103937941185
810,33098,3206.0103937941185
820,33099,3206.0103937941185
830,33100,3206.0103937941185
840,33101,3206.0103937941185
850,33102,3206.0103937941185
860,33103,3206.0103937941185
870,33104,3206.0103937941185
880,33105,3206.0103937941185
890,33106,3206.0103937941185
900,33107,3206.0103937941185
910,33108,3206.0103937941185
920,33109,3206.0103937941185
930,33110,3206.0103937941185
940,33111,3206.0103937941185
950,33112,3206.0103937941185
960,33113,3206.0103937941185
970,33114,3206.0103937941185
980,33115,3206.0103937941185
990,33116,3206.0103937941185
1000,33117,3206.0103937941185
1010,33118,3206.0103937941185
1020,33119,3206.0103937941185
1030,33120,3206.0103937941185
1040,33121,3206.0103937941185
1050,33122,3206.0103937941185
1060,33123,3206.0103937941185
1070,33124,3206.0103937941185
1080,33125,3206.0103937941185
1090,33126,3206.0103937941185
1100,33127,3206.0103937941185
1110,33128,3206.0103937941185
1120,33129,3206.0103937941185
1130,33130,3206.0103937941185
1140,33131,3206.0103937941185
1150,33132,3206.0103937941185
1160,33133,3206.0103937941185
1170,33134,3206.0103937941185
1180,33135,3206.0103937941185
1190,33136,3206.0103937941185
1200,33137,3206.0103937941185
1210,33138,3206.0103937941185
1220,33139,3206.0103937941185
1230,33140,3206.0103937941185
1240,33141,3206.0103937941185
1250,33142,3206.0103937941185
1260,33143,3206.0103937941185
1270,33144,3206.0103937941185
1280,33145,3206.0103937941185
1290,33146,3206.0103937941185
1300,33147,3206.0103937941185
1310,33148,3206.0103937941185
1320,33149,3206.0103937941185
1330,33150,3206.0103937941185
1340,33151,3206.0103937941185
1350,33152,3206.0103937941185
1360,33153,3206.0103937941185
1370,33154,3206.0103937941185
1380,33155,3206.0103937941185
1390,33156,3206.0103937941185
1400,33157,3206.0103937941185
1410,33158,3206.0103937941185
1420,33159,3206.0103937941185
1430,33160,3206.0103937941185
1440,33161,3206.0103937941185
1450,33162,3206.0103937941185
1460,33163,3206.0103937941185
1470,33164,3206.0103937941185
1480,33165,3206.0103937941185
1490,33166,3206.0103937941185
1500,33167,3206.0103937941185
1510,33168,3206.0103937941185
1520,33169,3206.0103937941185
1530,33170,3206.0103937941185
1540,33171,3206.0103937941185
1550,33172,3206.0103937941185
1560,33173,3206.0103937941185
1570,33174,3206.0103937941185
1580,33175,3206.0103937941185
1590,33176,3206.0103937941185
1600,33177,3206.0103937941185
1610,33178,3206.0103937941185
1620,33179,3206.0103937941185
1630,33180,3206.0103937941185
1640,33181,3206.0103937941185
1650,33182,3206.0103937941185
1660,33183,3206.0103937941185
1670,33184,3206.0103937941185
1680,33185,3206.0103937941185
1690,33186,3206.0103937941185
1700,33187,3206.0103937941185
1710,33188,3206.0103937941185
1720,33189,3206.0103937941185
1730,33190,3206.0103937941185
1740,33191,3206.0103937941185
1750,33192,3206.0103937941185
1760,33193,3206.0103937941185
1770,33194,3206.0103937941185
1780,33195,3206.0103937941185
1790,33196,3206.0103937941185
1800,33197,3206.0103937941185
1810,33198,3206.0103937941185
1820,33199,3206.0103937941185
1830,33200,3206.0103937941185
1840,33201,3206.0103937941185
1850,33202,3206.0103937941185
1860,33203,3206.0103937941185
1870,33204,3206.0103937941185
1880,33205,3206.0103937941185
1890,33206,3206.0103937941185
1900,33207,3206.0103937941185
1910,33208,3206.0103937941185
1920,33209,3206.0103937941185
1930,33210,3206.0103937941185
1940,33211,3206.0103937941185
1950,33212,3206.0103937941185
1960,33213,3206.0103937941185
1970,33214,3206.0103937941185
1980,33215,3206.0103937941185
1990,33216,3206.0103937941185
2000,33217,3206.0103937941185
2010,33218,3206.0103937941185
2020,33219,3206.0103937941185
2030,33220,3206.0103937941185
2040,33221,3206.0103937941185
2050,33222,3206.0103937941185
2060,33223,3206.0103937941185
2070,33224,3206.0103937941185
2080,33225,3206.0103937941185
2090,33226,3206.0103937941185
2100,33227,3206.0103937941185
2110,33228,3206.0103937941185
2120,33229,3206.0103937941185
2130,33230,3206.0103937941185
2140,33231,3206.0103937941185
2150,33232,3206.0103937941185
2160,33233,3206.0103937941185
2170,33234,3206.0103937941185
2180,33235,3206.0103937941185
2190,33236,3206.0103937941185
2200,33237,3206.0103937941185
2210,33238,3206.0103937941185
2220,33239,3206.0103937941185
2230,33240,3206.0103937941185
2240,33241,3206.0103937941185
2250,33242,3206.0103937941185
2260,33243,3206.0103937941185
2270,33244,3206.0103937941185
2280,33245,3206.0103937941185
2290,33246,3206.0103937941185
2300,33247,3206.0103937941185
2310,33248,3206.0103937941185
2320,33249,3206.0103937941185
2330,33250,3206.0103937941185
2340,33251,3206.0103937941185
2350,33252,3206.0103937941185
2360,33253,3206.0103937941185
2370,33254,3206.0103937941185
2380,33255,3206.0103937941185
2390,33256,3206.0103937941185
2400,33257,3206.0103937941185
2410,33258,3206.0103937941185
2420,33259,3206.0103937941185
2430,33260,3206.0103937941185
2440,33261,3206.0103937941185
2450,33262,3206.0103937941185
2460,33263,3206.0103937941185
2470,33264,3206.0103937941185
2480,33265,3206.0103937941185
2490,33266,3206.0103937941185
2500,33267,3206.0103937941185
2510,33268,3206.0103937941185
2520,33269,3206.0103937941185
2530,33270,3206.0103937941185
2540,33271,3206.0103937941185
2550,33272,3206.0103937941185
2560,33273,3206.0103937941185
2570,33274,3206.0103937941185
2580,33275,3206.0103937941185
2590,33276,3206.0103937941185
2600,33277,3206.0103937941185
2610,33278,3206.0103937941185
2620,33279,3206.0103937941185
2630,33280,3206.0103937941185
2640,33281,3206.0103937941185
2650,33282,3206.0103937941185
2660,33283,3206.0103937941185
2670,33284,3206.0103937941185
2680,33285,3206.0103937941185
2690,33286,3206.0103937941185
2700,33287,3206.0103937941185
2710,33288,3206.0103937941185
2720,33289,3206.0103937941185
2730,33290,3206.0103937941185
2740,33291,3206.0103937941185
2750,33292,3206.0103937941185
2760,33293,3206.0103937941185
2770,33294,3206.0103937941185
2780,33295,3206.0103937941185
2790,33296,3206.0103937941185
2800,33297,3206.0103937941185
2810,33298,3206.0103937941185
2820,33299,3206.0103937941185
2830,33300,3206.0103937941185
2840,33301,3206.0103937941185
2850,33302,3206.0103937941185
2860,33303,3206.0103937941185
2870,33304,3206.0103937941185
2880,33305,3206.0103937941185
2890,33306,3206.0103937941185
2900,33307,3206.0103937941185
2910,33308,3206.0103937941185
2920,33309,3206.0103937941185
2930,33310,3206.0103937941185
2940,33311,3206.0103937941185
2950,33312,3206.0103937941185
2960,33313,3206.0103937941185
2970,33314,3206.0103937941185
2980,33315,3206.0103937941185
2990,33316,3206.0103937941185
3000,33317,3206.0103937941185
3010,33318,3206.0103937941185
3020,33319,3206.0103937941185
3030,33320,3206.0103937941185
3040,33321,3206.0103937941185
3050,33322,3206.0103937941185
3060,33323,3206.0103937941185
3070,33324,3206.0103937941185
3080,33325,3206.0103937941185
3090,33326,3206.0103937941185
3100,33327,3206.0103937941185
3110,33328,3206.0103937941185
3120,33329,3206.0103937941185
3130,33330,3206.0103937941185
3140,33331,3206.0103937941185
3150,33332,3206.0103937941185
3160,33333,3206.0103937941185
3170,33334,3206.0103937941185
3180,33335,3206.0103937941185
3190,33336,3206.0103937941185
3200,33337,3206.0103937941185
3210,33338,3206.0103937941185
3220,33339,3206.0103937941185
3230,33340,3206.0103937941185
3240,33341,3206.0103937941185
3250,33342,3206.0103937941185
3260,33343,3206.0103937941185
3270,33344,3206.0103937941185
3280,33345,3206.0103937941185
3290,33346,3206.0103937941185
3300,33347,3206.0103937941185
3310,33348,3206.0103937941185
3320,33349,3206.0103937941185
3330,33350,3206.0103937941185
3340,33351,3206.0103937941185
3350,33352,3206.0103937941185
3360,33353,3206.0103937941185
3370,33354,3206.0103937941185
3380,33355,3206.0103937941185
3390,33356,3206.0103937941185
3400,33357,3206.0103937941185
3410,33358,3206.0103937941185
3420,33359,3206.0103937941185
3430,33360,3206.0103937941185
3440,33361,3206.0103937941185
3450,33362,3206.0103937941185
3460,33363,3206.0103937941185
3470,33364,3206.0103937941185
3480,33365,3206.0103937941185
3490,33366,3206.0103937941185
3500,33367,3206.0103937941185
3510,33368,3206.0103937941185
3520,33369,3206.0103937941185
3530,33370,3206.0103937941185
3540,33371,3206.0103937941185
3550,33372,3206.0103937941185
3560,33373,3206.0103937941185
3570,33374,3206.0103937941185
3580,33375,3206.0103937941185
3590,33376,3206.0103937941185
3600,33377,3206.0103937941185
3610,33378,3206.0103937941185
3620,33379,3206.0103937941185
3630,33380,3206.0103937941185
3640,33381,3206.0103937941185
3650,33382,3206.0103937941185
3660,33383,3206.0103937941185
3670,33384,3206.0103937941185
3680,33385,3206.0103937941185
3690,33386,3206.0103937941185
3700,33387,3206.0103937941185
3710,33388,3206.0103937941185
3720,33389,3206.0103937941185
3730,33390,3206.0103937941185
3740,33391,3206.0103937941185
3750,33392,3206.0103937941185
3760,33393,3206.0103937941185
3770,33394,3206.0103937941185
3780,33395,3206.0103937941185
3790,33396,3206.0103937941185
3800,33397,3206.0103937941185
3810,33398,3206.0103937941185
3820,33399,3206.0103937941185
3830,33400,3206.0103937941185
3840,33401,3206.0103937941185
3850,33402,3206.0103937941185
3860,33403,3206.0103937941185
3870,33404,3206.0103937941185
3880,33405,3206.0103937941185
3890,33406,3206.0103937941185
3900,33407,3206.0103937941185
3910,33408,3206.0103937941185
3920,33409,3206.0103937941185
3930,33410,3206.0103937941185
3940,33411,3206.0103937941185
3950,33412,3206.0103937941185
3960,33413,3206.0103937941185
3970,33414,3206.0103937941185
3980,33415,3206.0103937941185
3990,33416,3206.0103937941185
4000,33417,3206.0103937941185
4010,33418,3206.0103937941185
4020,33419,3206.0103937941185
4030,33420,3206.0103937941185
4040,33421,3206.0103937941185
4050,33422,3206.0103937941185
4060,33423,3206.0103937941185
4070,33424,3206.0103937941185
4080,33425,3206.0103937941185
4090,33426,3206.0103937941185
4100,33427,3206.0103937941185
4110,33428,3206.0103937941185
4120,33429,3206.0103937941185
4130,33430,3206.0103937941185
4140,33431,3206.0103937941185
4150,33432,3206.0103937941185
4160,33433,3206.0103937941185
4170,33434,3206.0103937941185
4180,33435,3206.0103937941185
4190,33436,3206.0103937941185
4200,33437,3206.0103937941185
4210,33438,3206.0103937941185
4220,33439,3206.0103937941185
4230,33440,3206.0103937941185
